[2025-07-25 01:44:08] INFO: → GET /api-docs/ from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:44:08] INFO: → GET /api-docs/swagger-ui.css from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:44:08] INFO: → GET /api-docs/swagger-ui-bundle.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:44:08] INFO: → GET /api-docs/swagger-ui-init.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:44:08] INFO: → GET /api-docs/swagger-ui-standalone-preset.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:44:08] INFO: → GET /api-docs/favicon-32x32.png from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:44:18] INFO: → POST /api/login/application from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:44:35] INFO: → GET /api/profile/data/get from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:45:07] INFO: → GET /api/profile/data/get from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:46:53] INFO: → GET /api-docs/ from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:46:53] INFO: → GET /api-docs/swagger-ui.css from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:46:53] INFO: → GET /api-docs/swagger-ui-bundle.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:46:53] INFO: → GET /api-docs/swagger-ui-standalone-preset.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:46:53] INFO: → GET /api-docs/swagger-ui-init.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:46:53] INFO: → GET /api-docs/favicon-32x32.png from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:47:38] INFO: → GET /api-docs/ from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:47:38] INFO: → GET /api-docs/swagger-ui.css from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:47:38] INFO: → GET /api-docs/swagger-ui-bundle.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:47:38] INFO: → GET /api-docs/swagger-ui-init.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:47:38] INFO: → GET /api-docs/swagger-ui-standalone-preset.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:47:39] INFO: → GET /api-docs/favicon-32x32.png from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:48:20] INFO: → GET /api-docs/ from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:48:20] INFO: → GET /api-docs/swagger-ui.css from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:48:20] INFO: → GET /api-docs/swagger-ui-bundle.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:48:20] INFO: → GET /api-docs/swagger-ui-standalone-preset.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2025-07-25 01:48:20] INFO: → GET /api-docs/swagger-ui-init.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
