[10-10-2025 00:30:04] HTTP: [User: anonymous] → GET /api/admin/data/get from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:04] INFO: [User: anonymous] ← 304 GET /api/admin/data/get | 13.32 ms from ::1
[10-10-2025 00:30:06] HTTP: [User: anonymous] → OPTIONS /api/admin/faculties/ from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:06] INFO: [User: anonymous] ← 204 OPTIONS /api/admin/faculties/ | 1.20 ms from ::1
[10-10-2025 00:30:06] HTTP: [User: anonymous] → OPTIONS /api/admin/departments/ from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:06] INFO: [User: anonymous] ← 204 OPTIONS /api/admin/departments/ | 1.72 ms from ::1
[10-10-2025 00:30:06] HTTP: [User: anonymous] → OPTIONS /api/admin/departments/ from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:06] INFO: [User: anonymous] ← 204 OPTIONS /api/admin/departments/ | 2.15 ms from ::1
[10-10-2025 00:30:06] HTTP: [User: anonymous] → OPTIONS /api/admin/teachers?includeResigned=true from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:06] INFO: [User: anonymous] ← 204 OPTIONS /api/admin/teachers?includeResigned=true | 1.41 ms from ::1
[10-10-2025 00:30:06] HTTP: [User: anonymous] → GET /api/admin/faculties/ from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:06] HTTP: [User: anonymous] → GET /api/admin/faculties/ from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:06] HTTP: [User: anonymous] → OPTIONS /api/admin/teachers?includeResigned=true from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:06] INFO: [User: anonymous] ← 204 OPTIONS /api/admin/teachers?includeResigned=true | 1.89 ms from ::1
[10-10-2025 00:30:06] HTTP: [User: anonymous] → GET /api/admin/departments/ from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:06] INFO: [User: anonymous] ← 200 GET /api/admin/faculties/ | 15.29 ms from ::1
[10-10-2025 00:30:06] HTTP: [User: anonymous] → GET /api/admin/departments/ from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:06] HTTP: [User: anonymous] → GET /api/admin/teachers?includeResigned=true from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:06] HTTP: [User: anonymous] → GET /api/admin/teachers?includeResigned=true from IP ::1 (Localhost) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[10-10-2025 00:30:06] INFO: [User: anonymous] ← 200 GET /api/admin/departments/ | 14.19 ms from ::1
[10-10-2025 00:30:06] INFO: [User: anonymous] ← 200 GET /api/admin/faculties/ | 27.86 ms from ::1
